Dataset,Method,Median reference ARI,Reference ARI SD,Median reference NMI,Reference NMI SD,Median pairwise partition ARI,5th percentile pairwise partition ARI,Minimum pairwise partition ARI,"Iso-accuracy pairs, n",Median iso-accuracy partition ARI,Minimum iso-accuracy partition ARI,"Divergent iso-accuracy pairs, n",Divergent iso-accuracy fraction
STARmap,BANKSY,0.56236677170000005,0.043510747269999997,0.6502365752,0.020443578390000001,0.88610836019999994,0.70968291500000003,0.61993441309999997,102,0.9450052109,0.86476893160000001,0,0
STARmap,SEDR,0.55571912582100003,0.047694211896899902,0.64562893752700001,0.0297517313188,0.75540249954700001,0.58888089072000005,0.47642144829299993,52,0.81705689584700003,0.66801302882799996,0,0
HBCA1,GraphST,0.52368268080000002,0.027707724409999999,0.58328917849999995,0.01363229317,0.67156933870000002,0.6143616637,0.58219146700000002,74,0.6960620689,0.58219146700000002,0,0
HBCA1,STAGATE,0.62413411460000001,0.023997599479999999,0.66201022789999997,0.0094377293110000007,0.77113712759999997,0.71280760030000001,0.68199935789999999,93,0.79187544629999995,0.70124410290000005,0,0
HBCA1,SpaGCN,0.53438855630000004,0.019011657550000002,0.62919166920000003,0.011396146710000001,0.6960999323,0.64698907750000001,0.61918394639999996,98,0.70782703739999997,0.64680318810000004,0,0
HBCA1,BANKSY,0.63481049919999999,0.027883472749999999,0.67862118090000001,0.0089752852989999996,0.8614898809,0.7967975773,0.75788212909999997,77,0.91560839969999996,0.82106523909999996,0,0
HBCA1,SEDR,0.39282277657800002,0.030421941459600001,0.65449721722499987,0.0073165421611400003,0.63810478678100002,0.55114922477999995,0.49061147399499988,66,0.67198122964600004,0.51729794120499994,0,0
Bregma −0.04,GraphST,0.2234205638,0.029500549019999999,0.38640310579999998,0.032390497210000001,0.32797088489999998,0.24599926250000001,0.23029828229999999,86,0.36385590039999999,0.23029828229999999,74,0.8604651163
Bregma −0.04,STAGATE,0.40272200600000002,0.06836256936,0.53525481129999997,0.038973191240000003,0.51404987769999999,0.39070783329999997,0.31306331799999998,27,0.56268999500000005,0.3963577257,9,0.33333333329999998
Bregma −0.04,SpaGCN,0.12624353229999999,0.028541840299999999,0.20448571439999999,0.02856617157,0.33592746299999998,0.27392513219999998,0.24862889069999999,71,0.3548680219,0.26119690969999998,70,0.98591549300000003
Bregma −0.04,BANKSY,0.15711470220000001,0.023521823050000001,0.25910857180000002,0.021845751359999999,0.63367021379999999,0.51026727689999996,0.47192386009999998,123,0.68574152479999995,0.50972547020000003,0,0
Bregma −0.04,SEDR,0.168004673149,0.0179891805453,0.29381237535400001,0.018207941181600001,0.52784568508600005,0.410203861507,0.37912229564099992,103,0.56761411084500002,0.38548670761199988,26,0.25242718446599988
