section,dataset_display,method,seed_r,seed_s,abs_reference_ari_difference,pairwise_partition_ari,top50_marker_jaccard,top100_marker_jaccard,marker_rank_spearman,aligned_domains_compared_n,aligned_domains_compared,marker_pipeline_source,partition_ari_tertile,section_display,marker_set_size
151507,151507,GraphST,16,18,0.01362169,0.43814747,0.81818182,0.8018018,0.92363811,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,16,20,0.00220743,0.41154344,0.69491525,0.70940171,0.86935571,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,17,18,0.00191509,0.5250132,0.88679245,0.83486239,0.91344378,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,17,19,0.01353914,0.55461991,0.88679245,0.83486239,0.92764028,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,17,20,0.00949918,0.35573367,0.72413793,0.63934426,0.85113613,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,GraphST,18,19,0.01162405,0.54121085,0.85185185,0.75438596,0.90615034,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,GraphST,18,20,0.01141427,0.35748513,0.69491525,0.6,0.85321283,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,1,2,0.01296754,0.54972778,0.81818182,0.7699115,0.91012965,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,1,3,0.00327584,0.85627459,0.88679245,0.88679245,0.97090168,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,1,5,0.00987327,0.82985223,0.88679245,0.88679245,0.96577824,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,1,6,0.00142274,0.84754183,0.92307692,0.88679245,0.96766238,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
151507,151507,STAGATE,1,9,0.00834801,0.82345163,0.88679245,0.88679245,0.95971532,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,1,12,0.00119101,0.82642723,0.92307692,0.86915888,0.96106056,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,1,13,0.01684401,0.81237827,0.88679245,0.9047619,0.96135624,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Middle,151507,
151507,151507,STAGATE,1,14,0.00645822,0.56066357,0.78571429,0.69491525,0.9125762,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,Low,151507,
151507,151507,STAGATE,1,15,0.01374914,0.83906237,0.88679245,0.88679245,0.96394243,7,0;1;2;3;4;5;6,frozen Phase 1 marker_cache,High,151507,
