section,dataset_display,method,partition_ari_tertile,n_pairs,median_pairwise_partition_ari,median_top100_marker_jaccard,median_top50_marker_jaccard,median_marker_rank_spearman,section_display
STARmap_20180505_BY3_1k,STARmap,SpaGCN,Low,9,0.43415262,0.51515152,0.51515152,0.80019046,STARmap
STARmap_20180505_BY3_1k,STARmap,SpaGCN,Middle,9,0.56710332,0.61290323,0.63934426,0.90851574,STARmap
STARmap_20180505_BY3_1k,STARmap,BANKSY,High,34,0.98242218,0.96078431,1,0.99853139,STARmap
STARmap_20180505_BY3_1k,STARmap,BANKSY,Low,34,0.88835298,0.8018018,0.81818182,0.97013515,STARmap
STARmap_20180505_BY3_1k,STARmap,BANKSY,Middle,34,0.94500521,0.88679245,0.92307692,0.98880773,STARmap
STARmap_20180505_BY3_1k,STARmap,SEDR,High,17,0.8620002886,0.83486238530000001,0.85185185190000001,0.9777788194,STARmap
STARmap_20180505_BY3_1k,STARmap,SEDR,Low,18,0.75821059160000004,0.70940170940000002,0.6949152542,0.93189387800000001,STARmap
STARmap_20180505_BY3_1k,STARmap,SEDR,Middle,17,0.81757702109999997,0.83486238530000001,0.78571428570000001,0.97697804060000004,STARmap
HBCA1,HBCA1,GraphST,High,24,0.72786591,0.72846303,0.75438596,0.89340463,HBCA1
HBCA1,HBCA1,GraphST,Low,25,0.62220754,0.68067227,0.6954023,0.8645199,HBCA1
HBCA1,HBCA1,GraphST,Middle,25,0.69613778,0.72413793,0.70952659,0.87037464,HBCA1
HBCA1,HBCA1,STAGATE,High,31,0.81137874,0.7467582,0.72465061,0.9027094,HBCA1
HBCA1,HBCA1,STAGATE,Low,31,0.77195179,0.72465061,0.72413793,0.89012891,HBCA1
HBCA1,HBCA1,STAGATE,Middle,31,0.79187545,0.73913043,0.70952659,0.8966951,HBCA1
HBCA1,HBCA1,SpaGCN,High,32,0.7393738,0.75438596,0.75438596,0.90677397,HBCA1
HBCA1,HBCA1,SpaGCN,Low,33,0.67394195,0.70952659,0.72413793,0.88682304,HBCA1
HBCA1,HBCA1,SpaGCN,Middle,33,0.7087343,0.72413793,0.72413793,0.88748997,HBCA1
HBCA1,HBCA1,BANKSY,High,25,0.93870541,0.9047619,0.88679245,0.9810492,HBCA1
HBCA1,HBCA1,BANKSY,Low,26,0.88075418,0.84335712,0.82780302,0.95304458,HBCA1
HBCA1,HBCA1,BANKSY,Middle,26,0.91622062,0.86050537,0.85185185,0.96963147,HBCA1
HBCA1,HBCA1,SEDR,High,22,0.76288458849999996,0.85201063190000004,0.87805730260000003,0.94717563500000002,HBCA1
HBCA1,HBCA1,SEDR,Low,22,0.59528285319999996,0.77428000080000003,0.78856887249999996,0.90860272500000006,HBCA1
HBCA1,HBCA1,SEDR,Middle,22,0.67198122959999995,0.81006493509999999,0.83501683500000001,0.93775932630000003,HBCA1
MERFISH_Bregma_m0.04,,GraphST,High,28,0.49305131,0.9048482964,0.8181818182,0.9692525217,Bregma -0.04
MERFISH_Bregma_m0.04,,GraphST,Low,29,0.2750405501,0.8608274191,0.7549261084,0.9401179466,Bregma -0.04
MERFISH_Bregma_m0.04,,GraphST,Middle,29,0.3667959172,0.8789696542,0.773383553,0.9491589056,Bregma -0.04
MERFISH_Bregma_m0.04,,STAGATE,High,9,0.6898050357,0.9230769231,0.8867924528,0.9887048435,Bregma -0.04
MERFISH_Bregma_m0.04,,STAGATE,Low,9,0.4142117714,0.8693221523,0.7549261084,0.9500322258,Bregma -0.04
MERFISH_Bregma_m0.04,,STAGATE,Middle,9,0.562689995,0.869812145,0.7565485362,0.930384132,Bregma -0.04
MERFISH_Bregma_m0.04,,SpaGCN,High,23,0.4171500573,0.9139194139,0.8524871355,0.9770294222,Bregma -0.04
MERFISH_Bregma_m0.04,,SpaGCN,Low,24,0.2978801954,0.8695671487,0.7241698799,0.9309190809,Bregma -0.04
MERFISH_Bregma_m0.04,,SpaGCN,Middle,24,0.355239025,0.8702207578,0.7434474297,0.9352300925,Bregma -0.04
MERFISH_Bregma_m0.04,,BANKSY,High,41,0.9989826553,1,1,1,Bregma -0.04
MERFISH_Bregma_m0.04,,BANKSY,Low,41,0.5144913228,0.9704911668,0.9433962264,0.9984338242,Bregma -0.04
MERFISH_Bregma_m0.04,,BANKSY,Middle,41,0.6857415248,0.9801980198,0.9607843137,0.9984338242,Bregma -0.04
MERFISH_Bregma_m0.04,Bregma -0.04,SEDR,High,34,0.68757950690000003,0.93707991040000005,0.88712842010000004,0.98247800590000001,Bregma -0.04
MERFISH_Bregma_m0.04,Bregma -0.04,SEDR,Low,35,0.47592845680000001,0.88948306600000004,0.82058920889999998,0.96406013339999996,Bregma -0.04
MERFISH_Bregma_m0.04,Bregma -0.04,SEDR,Middle,34,0.56804828910000005,0.91391941389999998,0.86090464389999999,0.97086542490000005,Bregma -0.04
MERFISH_Bregma_m0.09,,GraphST,High,16,0.5834571531,0.9139194139,0.8693221523,0.9838854694,Bregma -0.09
MERFISH_Bregma_m0.09,,GraphST,Low,16,0.4489018667,0.9047619048,0.8693221523,0.9782604492,Bregma -0.09
