section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,feature_hash,coordinate_hash,graph_hash,elapsed_seconds,device,section_display,n_cells,n_genes
151507,BANKSY,3,0.209606543,0.4032240699,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.4089958668,cpu,151507,,
151507,BANKSY,4,0.2451209175,0.4760407249,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2909064293,cpu,151507,,
151507,BANKSY,5,0.2460558298,0.4764666733,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.3312606812,cpu,151507,,
151507,BANKSY,6,0.2077447576,0.4017896927,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.3254287243,cpu,151507,,
151507,BANKSY,7,0.2457833257,0.4763432718,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2670869827,cpu,151507,,
151507,BANKSY,8,0.2455151314,0.4762212327,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2639882565,cpu,151507,,
151507,BANKSY,9,0.2445578385,0.5437293588,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.4005775452,cpu,151507,,
151507,BANKSY,10,0.2078154474,0.4108524189,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2529673576,cpu,151507,,
151507,BANKSY,11,0.2445196607,0.4756123075,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2649827003,cpu,151507,,
151507,BANKSY,12,0.3070017507,0.490687927,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2745673656,cpu,151507,,
151507,BANKSY,13,0.3076839187,0.4917093284,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2509794235,cpu,151507,,
151507,BANKSY,14,0.2457833257,0.4763432718,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.266712904,cpu,151507,,
151507,BANKSY,15,0.3322585124,0.5313996022,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.281832695,cpu,151507,,
151507,BANKSY,16,0.2078154474,0.4108524189,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2601201534,cpu,151507,,
151507,BANKSY,17,0.2460558298,0.4764666733,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2916584015,cpu,151507,,
151507,BANKSY,18,0.2445196607,0.4756123075,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.265969038,cpu,151507,,
151507,BANKSY,19,0.326154738,0.5410687424,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.3287079334,cpu,151507,,
151507,BANKSY,20,0.3076839187,0.4917093284,4226,7,ac36b7aaef8efd66336a066adcbaa1cb537b00c60847706e458042d61e61bb92,348757a9443cda15d83247d724be6149f03b04185b8e84b343948dc9b2b2601e,d91d62d48ba63cc43b05a02d33d67f4a29d7a8405221510ce40d3323620baff9,0.2499814034,cpu,151507,,
151507,SEDR,1,0.53564157840899995,0.68896816098799996,4226,7,,,,,,151507,4226,18430
151507,SEDR,2,0.51273482568100004,0.68188687185300001,4226,7,,,,,,151507,4226,18430
151507,SEDR,3,0.48416151585799999,0.63537298684999999,4226,7,,,,,,151507,4226,18430
151507,SEDR,4,0.54707542403599996,0.68652808512499996,4226,7,,,,,,151507,4226,18430
151507,SEDR,5,0.53005193814100005,0.68947032512700002,4226,7,,,,,,151507,4226,18430
151507,SEDR,6,0.57519566319299997,0.69511072808300001,4226,7,,,,,,151507,4226,18430
151507,SEDR,7,0.54844774429300003,0.69812833877799996,4226,7,,,,,,151507,4226,18430
151507,SEDR,8,0.54036979841300004,0.69713656450399997,4226,7,,,,,,151507,4226,18430
151507,SEDR,9,0.545958780004,0.70542914369300003,4226,7,,,,,,151507,4226,18430
