section,section_display,method,rank,rank_x2,count,probability,enumerated_combinations,rank_rule,interpretation_unit
151670,151670,GraphST,4,8,1024400,0.32012499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,GraphST,5,10,124800,0.039,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,1,2,179240,0.0560125,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,2,4,371720,0.1161625,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,3,6,677000,0.21156249999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,4,8,1221880,0.3818375,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,STAGATE,5,10,750160,0.23442499999999999,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,1,2,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,2,4,5720,0.0017875,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,2.5,5,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,3,6,109640,0.034262500000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,3.5,7,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,4,8,763560,0.23861250000000001,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,4.5,9,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,SpaGCN,5,10,2321080,0.72533749999999997,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,BANKSY,1,2,1757140,0.54910625000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,BANKSY,1.5,3,0,0,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
151670,151670,BANKSY,2,4,801420,0.25044375000000002,3200000,average midrank for exact ties,exact empirical combinations; not independent experiments
