section,method,n_seeds,median_reference_ari,reference_ari_sd,reference_ari_min,reference_ari_max,reference_ari_range,median_reference_nmi,reference_nmi_sd,median_pairwise_partition_ari,p05_pairwise_partition_ari,minimum_pairwise_partition_ari,median_pairwise_partition_nmi,partition_instability,section_display,p05_pairwise_partition_nmi,minimum_pairwise_partition_nmi
MERFISH_Bregma_m0.09,STAGATE,20,0.4155898981,0.04624579002,0.3564997419,0.5348259865,0.1783262445,0.5297437236,0.02843236569,0.6122310212,0.4402241028,0.3585729515,0.6953177562,0.3877689788,Bregma -0.09,0.5940218669,0.5234485416
MERFISH_Bregma_m0.09,SpaGCN,20,0.2321724519,0.05189105773,0.133978205,0.3108125627,0.1768343577,0.3111476902,0.03926086905,0.4213462554,0.2921820282,0.254155734,0.5287244393,0.5786537446,Bregma -0.09,0.4260499174,0.3913682486
MERFISH_Bregma_m0.09,BANKSY,20,0.2306868096,0.02046756271,0.2305230571,0.2809777002,0.05045464313,0.3367522365,0.01104394713,0.9502358174,0.6352824577,0.6351087777,0.9431597665,0.04976418258,Bregma -0.09,0.8066091996,0.8062951088
MERFISH_Bregma_m0.09,SEDR,20,0.25652648918400001,0.068856985041999996,0.140616222845,0.41237167863599999,0.27175545579100002,0.36151559883500001,0.045268380189,0.52284224652199995,0.36913170233300002,0.25264329609899999,0.646187320181,0.47715775347799999,Bregma -0.09,0.52653411376284998,0.442491631306
MERFISH_Bregma_m0.14,GraphST,20,0.3693686778,0.01978559154,0.3261487481,0.3967108753,0.07056212725,0.4881834743,0.01149649782,0.4667685774,0.4052921596,0.3766731188,0.5942403304,0.5332314226,Bregma -0.14,0.5453386268,0.5219265549
MERFISH_Bregma_m0.14,STAGATE,20,0.3769189907,0.06407332623,0.3385720583,0.5456666201,0.2070945618,0.5534211477,0.02152861745,0.5420539779,0.4352539659,0.4017231625,0.7030381034,0.4579460221,Bregma -0.14,0.6266181036,0.5836158403
MERFISH_Bregma_m0.14,SpaGCN,20,0.2360679489,0.0495631298,0.1050537756,0.2877287301,0.1826749545,0.318479199,0.03760471701,0.461172187,0.2522911259,0.2126479914,0.5430983427,0.538827813,Bregma -0.14,0.4022795241,0.3721428457
MERFISH_Bregma_m0.14,BANKSY,20,0.2569964686,0.0163772048,0.2253059407,0.2641240625,0.03881812176,0.3343354851,0.02044975279,0.8343653256,0.5818142545,0.5687166914,0.8726470681,0.1656346744,Bregma -0.14,0.7637082185,0.7632470813
MERFISH_Bregma_m0.14,SEDR,20,0.25448295416799999,0.029714490512400001,0.17958546571199999,0.30596047487,0.12637500915800001,0.35936312008900001,0.018602685064899999,0.60581462321099999,0.45247979408299999,0.39986904106999999,0.74060537888,0.39418537678900001,Bregma -0.14,0.65250113406265009,0.60137218093300004
MERFISH_Bregma_m0.19,GraphST,20,0.3842830316,0.04744704234,0.2568429803,0.4404798816,0.1836369013,0.5350636499,0.02490529203,0.5451660509,0.3444804038,0.2753941753,0.6446383934,0.4548339491,Bregma -0.19,0.5569188164,0.5049765441
MERFISH_Bregma_m0.19,STAGATE,20,0.548856591,0.05093758379,0.4426440761,0.6254658838,0.1828218077,0.6345259976,0.01806936041,0.6063353769,0.472257087,0.4436221727,0.7265260133,0.3936646231,Bregma -0.19,0.6522880331,0.6230585657
MERFISH_Bregma_m0.19,SpaGCN,20,0.2370628998,0.06532005421,0.1205738637,0.3427964965,0.2222226328,0.3262321648,0.04523155518,0.3676846857,0.2596119439,0.2376177946,0.5025365027,0.6323153143,Bregma -0.19,0.4327150803,0.3998564466
MERFISH_Bregma_m0.19,BANKSY,20,0.2802938057,0.04128458683,0.1684607158,0.28087815,0.1124174342,0.3914843321,0.03562162862,0.995842205,0.5756408923,0.3828177001,0.9938511906,0.004157794967,Bregma -0.19,0.7531086809,0.7098880556
MERFISH_Bregma_m0.19,SEDR,20,0.28247143533899999,0.0252652334369,0.18182619383900001,0.29523925453200001,0.113413060693,0.395731991803,0.0265970537544,0.72406277583199996,0.46050444998000001,0.373079197104,0.75237687229299999,0.27593722416799998,Bregma -0.19,0.64802579516174996,0.58731184479099996
MERFISH_Bregma_m0.24,GraphST,20,0.4126567491,0.03761188372,0.2913487123,0.4485837775,0.1572350653,0.530617094,0.01311546957,0.4996040674,0.3576217524,0.2466034205,0.6216881043,0.5003959326,Bregma -0.24,0.5653108086,0.5036275391
MERFISH_Bregma_m0.24,STAGATE,20,0.5436068488,0.05265893123,0.4397737932,0.6401269895,0.2003531963,0.6457184301,0.01662824871,0.6012670376,0.4987846051,0.4597106784,0.7230280213,0.3987329624,Bregma -0.24,0.6617800123,0.6300076514
MERFISH_Bregma_m0.24,SpaGCN,20,0.2369921457,0.04676576254,0.1359789045,0.3046186943,0.1686397898,0.3190073691,0.0295612904,0.4854211553,0.3753063737,0.2744535428,0.5671319679,0.5145788447,Bregma -0.24,0.5032928917,0.4285536797
