section,section_display,method,threshold,n_iso_accuracy_pairs,median_pairwise_partition_ari,minimum_pairwise_partition_ari,n_partition_ari_below_0_50,fraction_partition_ari_below_0_50
HBCA1,HBCA1,SEDR,0.029999999999999999,96,0.66752969273200002,0.51729794120499994,0,0
MERFISH_Bregma_m0.04,Bregma -0.04,GraphST,0.01,44,0.3977032693,0.2420993467,36,0.8181818182
MERFISH_Bregma_m0.04,Bregma -0.04,GraphST,0.02,86,0.3638559004,0.2302982823,74,0.8604651163
MERFISH_Bregma_m0.04,Bregma -0.04,GraphST,0.03,117,0.3456489514,0.2302982823,101,0.8632478632
MERFISH_Bregma_m0.04,Bregma -0.04,STAGATE,0.01,14,0.5596455835,0.4044206435,3,0.2142857143
MERFISH_Bregma_m0.04,Bregma -0.04,STAGATE,0.02,27,0.562689995,0.3963577257,9,0.3333333333
MERFISH_Bregma_m0.04,Bregma -0.04,STAGATE,0.03,40,0.5717958459,0.3963577257,9,0.225
MERFISH_Bregma_m0.04,Bregma -0.04,SpaGCN,0.01,42,0.349956457,0.2611969097,42,1
MERFISH_Bregma_m0.04,Bregma -0.04,SpaGCN,0.02,71,0.3548680219,0.2611969097,70,0.985915493
MERFISH_Bregma_m0.04,Bregma -0.04,SpaGCN,0.03,96,0.3523646277,0.2611969097,95,0.9895833333
MERFISH_Bregma_m0.04,Bregma -0.04,BANKSY,0.01,119,0.6858213795,0.5097254702,0,0
MERFISH_Bregma_m0.04,Bregma -0.04,BANKSY,0.02,123,0.6857415248,0.5097254702,0,0
MERFISH_Bregma_m0.04,Bregma -0.04,BANKSY,0.03,123,0.6857415248,0.5097254702,0,0
MERFISH_Bregma_m0.04,Bregma -0.04,SEDR,0.01,55,0.59271246201100003,0.40440935155500002,10,0.181818181818
MERFISH_Bregma_m0.04,Bregma -0.04,SEDR,0.02,103,0.56761411084500002,0.38548670761199999,26,0.25242718446599999
MERFISH_Bregma_m0.04,Bregma -0.04,SEDR,0.029999999999999999,145,0.54955015425800002,0.38548670761199999,42,0.28965517241400002
MERFISH_Bregma_m0.09,Bregma -0.09,GraphST,0.01,20,0.5100989759,0.3930519211,9,0.45
MERFISH_Bregma_m0.09,Bregma -0.09,GraphST,0.02,48,0.5253628531,0.3930519211,17,0.3541666667
MERFISH_Bregma_m0.09,Bregma -0.09,GraphST,0.03,68,0.5215270595,0.3930519211,27,0.3970588235
MERFISH_Bregma_m0.09,Bregma -0.09,STAGATE,0.01,38,0.6044571093,0.5041757474,0,0
MERFISH_Bregma_m0.09,Bregma -0.09,STAGATE,0.02,67,0.6047285818,0.4708421998,2,0.02985074627
MERFISH_Bregma_m0.09,Bregma -0.09,STAGATE,0.03,90,0.6247476795,0.4708421998,2,0.02222222222
MERFISH_Bregma_m0.09,Bregma -0.09,SpaGCN,0.01,15,0.4581801613,0.3152799649,10,0.6666666667
MERFISH_Bregma_m0.09,Bregma -0.09,SpaGCN,0.02,36,0.4555560213,0.2983192503,25,0.6944444444
MERFISH_Bregma_m0.09,Bregma -0.09,SpaGCN,0.03,53,0.4581801613,0.291618023,34,0.641509434
MERFISH_Bregma_m0.09,Bregma -0.09,BANKSY,0.01,126,0.9891745097,0.9177069157,0,0
MERFISH_Bregma_m0.09,Bregma -0.09,BANKSY,0.02,126,0.9891745097,0.9177069157,0,0
MERFISH_Bregma_m0.09,Bregma -0.09,BANKSY,0.03,126,0.9891745097,0.9177069157,0,0
MERFISH_Bregma_m0.09,Bregma -0.09,SEDR,0.01,9,0.55241224651300003,0.41860703773399999,1,0.111111111111
MERFISH_Bregma_m0.09,Bregma -0.09,SEDR,0.02,23,0.55083161179600004,0.41860703773399999,3,0.13043478260900002
MERFISH_Bregma_m0.09,Bregma -0.09,SEDR,0.029999999999999999,37,0.55230180600900003,0.41860703773399999,6,0.162162162162
MERFISH_Bregma_m0.14,Bregma -0.14,GraphST,0.01,52,0.4853896413,0.3766731188,30,0.5769230769
MERFISH_Bregma_m0.14,Bregma -0.14,GraphST,0.02,96,0.4823372992,0.3766731188,55,0.5729166667
MERFISH_Bregma_m0.14,Bregma -0.14,GraphST,0.03,128,0.4644974114,0.3766731188,80,0.625
MERFISH_Bregma_m0.14,Bregma -0.14,STAGATE,0.01,36,0.6550600169,0.4285170825,3,0.08333333333
MERFISH_Bregma_m0.14,Bregma -0.14,STAGATE,0.02,42,0.6613654513,0.4285170825,3,0.07142857143
MERFISH_Bregma_m0.14,Bregma -0.14,STAGATE,0.03,56,0.6678679201,0.4285170825,6,0.1071428571
MERFISH_Bregma_m0.14,Bregma -0.14,SpaGCN,0.01,29,0.4939742942,0.3913161474,15,0.5172413793
MERFISH_Bregma_m0.14,Bregma -0.14,SpaGCN,0.02,55,0.5104098273,0.2525729352,25,0.4545454545
MERFISH_Bregma_m0.14,Bregma -0.14,SpaGCN,0.03,79,0.5073079872,0.2525729352,38,0.4810126582
MERFISH_Bregma_m0.14,Bregma -0.14,BANKSY,0.01,98,0.9863965232,0.5799702343,0,0
MERFISH_Bregma_m0.14,Bregma -0.14,BANKSY,0.02,99,0.9862476608,0.5799702343,0,0
