section,section_display,method,seed,reference_ari
HBCA1,HBCA1,SEDR,2,0.44552085667000002
HBCA1,HBCA1,SEDR,3,0.392113072482
HBCA1,HBCA1,SEDR,4,0.44673811834299992
HBCA1,HBCA1,SEDR,5,0.41835384093599992
HBCA1,HBCA1,SEDR,6,0.45389238852500002
HBCA1,HBCA1,SEDR,7,0.37894028741300001
HBCA1,HBCA1,SEDR,8,0.44161047612799992
HBCA1,HBCA1,SEDR,9,0.434824402532
HBCA1,HBCA1,SEDR,10,0.37760346389400001
HBCA1,HBCA1,SEDR,11,0.39294849478799992
HBCA1,HBCA1,SEDR,12,0.35782092835099988
HBCA1,HBCA1,SEDR,13,0.39372542947900002
HBCA1,HBCA1,SEDR,14,0.39269705836899987
HBCA1,HBCA1,SEDR,15,0.39257121293399988
HBCA1,HBCA1,SEDR,16,0.37092127636700001
HBCA1,HBCA1,SEDR,17,0.41864676428300002
HBCA1,HBCA1,SEDR,18,0.36921512215699992
HBCA1,HBCA1,SEDR,19,0.38789950527400002
HBCA1,HBCA1,SEDR,20,0.38512718643999988
