section,section_display,method,seed_r,seed_s,pairwise_partition_ari,top50_marker_jaccard,marker_rank_spearman
151507,151507,GraphST,10,20,0.38852428,0.69491524999999998,0.86791231000000002
151507,151507,GraphST,11,14,0.39462775999999999,0.78571429000000004,0.86992422000000003
151507,151507,GraphST,11,15,0.49722664999999999,0.88679244999999995,0.94191318000000002
151507,151507,GraphST,11,16,0.57452097000000002,0.81818181999999995,0.93879816999999999
151507,151507,GraphST,11,20,0.41079278000000002,0.69491524999999998,0.87213116000000002
151507,151507,GraphST,12,13,0.35362002999999997,0.81818181999999995,0.87565735
151507,151507,GraphST,12,17,0.43225101999999999,0.81818181999999995,0.88862012000000001
151507,151507,GraphST,12,18,0.46623489000000001,0.75438596000000002,0.89177622000000001
151507,151507,GraphST,12,19,0.48823109999999997,0.81818181999999995,0.89697698999999997
151507,151507,GraphST,13,19,0.4124198,0.81818181999999995,0.87569193999999995
151507,151507,GraphST,14,15,0.42226636000000001,0.75438596000000002,0.87217465999999999
151507,151507,GraphST,14,16,0.38796361000000001,0.81818181999999995,0.86909709999999996
151507,151507,GraphST,14,17,0.41367250999999999,0.75438596000000002,0.84863133999999996
151507,151507,GraphST,14,18,0.41278209999999999,0.78571429000000004,0.8475606
151507,151507,GraphST,14,20,0.46253074999999999,0.58730159000000004,0.78477896999999996
151507,151507,GraphST,15,16,0.47153249000000003,0.85185184999999997,0.93854408
151507,151507,GraphST,15,17,0.56255356999999995,0.85185184999999997,0.93055107999999997
151507,151507,GraphST,15,18,0.52748351000000004,0.85185184999999997,0.93203108000000001
151507,151507,GraphST,15,20,0.35732121,0.69491524999999998,0.86019904000000003
151507,151507,GraphST,16,17,0.46841729999999998,0.85185184999999997,0.93191723000000004
151507,151507,GraphST,16,18,0.43814746999999998,0.81818181999999995,0.92363810999999996
151507,151507,GraphST,16,20,0.41154343999999998,0.69491524999999998,0.86935571
151507,151507,GraphST,17,18,0.52501319999999996,0.88679244999999995,0.91344378000000004
151507,151507,GraphST,17,19,0.55461990999999999,0.88679244999999995,0.92764027999999998
151507,151507,GraphST,17,20,0.35573367,0.72413793000000004,0.85113612999999999
151507,151507,GraphST,18,19,0.54121085000000002,0.85185184999999997,0.90615034000000005
151507,151507,GraphST,18,20,0.35748512999999998,0.69491524999999998,0.85321283000000003
151507,151507,STAGATE,1,2,0.54972778,0.81818181999999995,0.91012965000000001
151507,151507,STAGATE,1,3,0.85627458999999995,0.88679244999999995,0.97090167999999999
151507,151507,STAGATE,1,5,0.82985222999999997,0.88679244999999995,0.96577824000000001
151507,151507,STAGATE,1,6,0.84754183000000005,0.92307691999999997,0.96766238000000004
151507,151507,STAGATE,1,9,0.82345162999999999,0.88679244999999995,0.95971532000000004
151507,151507,STAGATE,1,12,0.82642722999999996,0.92307691999999997,0.96106055999999995
151507,151507,STAGATE,1,13,0.81237826999999996,0.88679244999999995,0.96135623999999997
151507,151507,STAGATE,1,14,0.56066357,0.78571429000000004,0.91257619999999995
151507,151507,STAGATE,1,15,0.83906236999999995,0.88679244999999995,0.96394243000000002
151507,151507,STAGATE,1,16,0.83176503000000002,0.92307691999999997,0.96758723000000002
151507,151507,STAGATE,1,17,0.84860426,0.88679244999999995,0.96615857000000005
151507,151507,STAGATE,1,19,0.83009648000000003,0.88679244999999995,0.95673339000000002
151507,151507,STAGATE,2,3,0.56616884999999995,0.78571429000000004,0.9174658
151507,151507,STAGATE,2,4,0.32214714999999999,0.75438596000000002,0.89954584999999998
151507,151507,STAGATE,2,5,0.57333604000000005,0.81818181999999995,0.91061820000000004
151507,151507,STAGATE,2,6,0.55741845000000001,0.78571429000000004,0.91576049000000004
151507,151507,STAGATE,2,9,0.56427037000000002,0.78571429000000004,0.90792307000000005
151507,151507,STAGATE,2,12,0.55182560999999997,0.78571429000000004,0.89237071999999995
151507,151507,STAGATE,2,14,0.88651526000000003,0.81818181999999995,0.94908596999999995
151507,151507,STAGATE,2,15,0.55908376000000004,0.78571429000000004,0.90224431999999999
151507,151507,STAGATE,2,16,0.57597282999999999,0.75438596000000002,0.91295219999999999
151507,151507,STAGATE,2,17,0.56599975000000002,0.75438596000000002,0.90687762999999999
151507,151507,STAGATE,2,19,0.56504178000000005,0.75438596000000002,0.90361641000000004
