section,method,seed,reference_ari,reference_nmi,n_spots,n_clusters,section_display,n_cells,n_genes
151510,GraphST,4,0.2651782385,0.4326364661,4634.0,7,151510,,
151510,GraphST,5,0.3125111959,0.4595867721,4634.0,7,151510,,
151510,GraphST,6,0.2653034669,0.4194907313,4634.0,7,151510,,
151510,GraphST,7,0.2873601092,0.4453821572,4634.0,7,151510,,
151510,GraphST,8,0.2672788555,0.4499853877,4634.0,7,151510,,
151510,GraphST,9,0.2963642989,0.443967536,4634.0,7,151510,,
151510,GraphST,10,0.3034970768,0.4665751132,4634.0,7,151510,,
151510,GraphST,11,0.2896645335,0.442553979,4634.0,7,151510,,
151510,GraphST,12,0.2032774566,0.399860753,4634.0,7,151510,,
151510,GraphST,13,0.3541822656,0.4631831757,4634.0,7,151510,,
151510,GraphST,14,0.3577202511,0.4666022179,4634.0,7,151510,,
151510,GraphST,15,0.3269796718,0.4899929763,4634.0,7,151510,,
151510,GraphST,16,0.3288600076,0.4634575693,4634.0,7,151510,,
151510,GraphST,17,0.3358528019,0.4802087846,4634.0,7,151510,,
151510,GraphST,18,0.3296778417,0.4797287442,4634.0,7,151510,,
151510,GraphST,19,0.3128359553,0.4559552863,4634.0,7,151510,,
151510,GraphST,20,0.3331079958,0.4700016538,4634.0,7,151510,,
151510,STAGATE,1,0.2358034927,0.4379143464,4634.0,7,151510,,
151510,STAGATE,2,0.3013266499,0.444416613,4634.0,7,151510,,
151510,STAGATE,3,0.2757352526,0.4796216777,4634.0,7,151510,,
151510,STAGATE,4,0.3222270705,0.5305378374,4634.0,7,151510,,
151510,STAGATE,5,0.3158579804,0.4534690246,4634.0,7,151510,,
151510,STAGATE,6,0.2627160865,0.470785823,4634.0,7,151510,,
151510,STAGATE,7,0.2726592398,0.4745680162,4634.0,7,151510,,
151510,STAGATE,8,0.3537497159,0.5232674896,4634.0,7,151510,,
151510,STAGATE,9,0.290141545,0.4880513989,4634.0,7,151510,,
151510,STAGATE,10,0.3319247251,0.4842799238,4634.0,7,151510,,
151510,STAGATE,11,0.2916028556,0.4872092625,4634.0,7,151510,,
151510,STAGATE,12,0.3649225498,0.5352688476,4634.0,7,151510,,
151510,STAGATE,13,0.2769777826,0.4835514652,4634.0,7,151510,,
151510,STAGATE,14,0.3627221255,0.5428239925,4634.0,7,151510,,
