section,method,median_single_seed_reference_ari,best_single_seed_reference_ari,consensus20_reference_ari,consensus20_reference_nmi,split_half_consensus_ari,algorithm,median_single_seed_pairwise_ari,split_half_gain_over_median_single_seed_pairwise_ari,section_display
Bregma −0.14,STAGATE,0.3769189907,0.5456666201,0.4675285443,0.5806909344,0.7794077525,average-linkage agglomeration of unweighted co-association matrix; K=8,0.5420539779,0.2373537745,Bregma −0.14
Bregma −0.14,SpaGCN,0.2360679489,0.2877287301,0.2524079137,0.3355884689,0.6555307012,average-linkage agglomeration of unweighted co-association matrix; K=8,0.461172187,0.1943585142,Bregma −0.14
Bregma −0.14,BANKSY,0.2569964686,0.2641240625,0.2594151537,0.3344916635,0.8726268791,average-linkage agglomeration of unweighted co-association matrix; K=8,0.8343653256,0.03826155353,Bregma −0.14
Bregma −0.14,SEDR,0.254482954168,0.30596047487,0.225156693581,0.343102832427,0.777284727665,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.605814623211,0.171470104454,Bregma −0.14
Bregma −0.19,GraphST,0.3842830316,0.4404798816,0.4134027466,0.5767442232,0.7981175135,average-linkage agglomeration of unweighted co-association matrix; K=8,0.5451660509,0.2529514626,Bregma −0.19
Bregma −0.19,STAGATE,0.548856591,0.6254658838,0.6153227573,0.6616609483,0.724782654,average-linkage agglomeration of unweighted co-association matrix; K=8,0.6063353769,0.118447277,Bregma −0.19
Bregma −0.19,SpaGCN,0.2370628998,0.3427964965,0.306881898,0.3620313992,0.5735165931,average-linkage agglomeration of unweighted co-association matrix; K=8,0.3676846857,0.2058319074,Bregma −0.19
Bregma −0.19,BANKSY,0.2802938057,0.28087815,0.2804186992,0.3915183081,0.9988164699,average-linkage agglomeration of unweighted co-association matrix; K=8,0.995842205,0.002974264898,Bregma −0.19
Bregma −0.19,SEDR,0.282471435339,0.295239254532,0.285274833709,0.394096897941,0.912686655,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.724062775832,0.188623879167,Bregma −0.19
Bregma −0.24,GraphST,0.4126567491,0.4485837775,0.4333514654,0.5673906178,0.7002430045,average-linkage agglomeration of unweighted co-association matrix; K=8,0.4996040674,0.2006389371,Bregma −0.24
Bregma −0.24,STAGATE,0.5436068488,0.6401269895,0.5734105886,0.6539192121,0.7645450858,average-linkage agglomeration of unweighted co-association matrix; K=8,0.6012670376,0.1632780482,Bregma −0.24
Bregma −0.24,SpaGCN,0.2369921457,0.3046186943,0.2587716499,0.3288524931,0.6634558197,average-linkage agglomeration of unweighted co-association matrix; K=8,0.4854211553,0.1780346644,Bregma −0.24
Bregma −0.24,BANKSY,0.2599480208,0.2655985325,0.2637704635,0.3450826546,0.9835074584,average-linkage agglomeration of unweighted co-association matrix; K=8,0.6475188477,0.3359886106,Bregma −0.24
Bregma −0.24,SEDR,0.201515692519,0.31684711465,0.182258064226,0.358433239325,0.945148007889,unweighted 20-seed co-association; D=1-C; average-linkage agglomeration at project K,0.616224002161,0.328924005728,Bregma −0.24
